peak No.,Anotation,start m/z,end m/z,RT(min,RT(sec,RI,BY00,BY01,BY02,BY03,BY04,BY05,BY06,BY07,BY08,BY09,BY10,Xaa00,Xaa01,Xaa02,Xaa03,Xaa04,Xaa05,Xaa06,Xaa07,Xaa08,Xaa09,Xaa10,Xwo00,Xwo01,Xwo02,Xwo03,Xwo04,Xwo05,Xwo06,Xwo07,Xwo08,Xwo09,Xwo10
Peak-36,,275,279,10.53,631.8,1650,0.602307692,0.666666667,0.713129496,0.649595687,0.781947262,0.771148709,0.776942356,0.729233227,0.438936782,0.247686833,0.166666667,0.65625,0.688,0.699468085,0.544747082,0.824034335,0.580105634,0.740109556,0.667098446,0.414179104,0.190521327,0.073068894,0.771080257,0.71863581,0.685034235,0.750550488,0.735867446,0.691050873,0.574040875,0.641182467,0.47314376,0.347760632,0.019204623
Peak-38,Asparagine::C00152+0,116,118,10.61,636.6,1660.3,0.84155744,0.81667978,0.83286008,0.816250926,0.749884793,0.579931973,0.395416228,0.143934354,0.071134972,0.066756575,0.083079981,0.856116163,0.870086236,0.856650012,0.825764773,0.739731097,0.631570165,0.335340851,0.143250689,0.090328112,0.07587817,0.06030264,0.862417743,0.817795043,0.793592255,0.853782876,0.793099214,0.71613274,0.468155959,0.282586632,0.150303365,0.106296869,0.082096009
Peak-39,,290,293,10.65,639,1665.4,0.596392334,0.731974922,0.603896104,0.777358491,0.519467213,0.46306505,0.31496063,0.159457715,0.107117182,0.071862348,0.024096386,0.642244022,0.686165274,0.706025563,0.640056517,0.425275827,0.489168414,0.296846847,0.081296493,0.028788358,0.028613353,0.021088875,0.631599082,0.684210526,0.551948052,0.5,0.482982172,0.558645707,0.294768612,0.144460028,0.073109244,0.063480742,0.006301824
Peak-40,,275,279,10.79,647.4,1683,0.587937152,0.603088803,0.742459397,0.797179315,0.738543174,0.579425113,0.750607287,0.494341564,0.483896308,0.302926829,0.112908778,0.795442776,0.710967045,0.607645875,0.676126126,0.712596635,0.766331658,0.715034049,0.530316344,0.5376,0.19863533,0.055371215,0.769132653,0.736893204,0.783909232,0.718825813,0.663436354,0.729971845,0.65329846,0.59901915,0.473684211,0.236469796,0.018138668
Peak-43,,205,207,11.073,664.4,1720.4,0.659834065,0.627786033,0.70208605,0.657592514,0.723958333,0.361950344,0.180089485,0.081880734,0.072924188,0.098750744,0.04413849,0.730872377,0.721599021,0.729834373,0.682423858,0.613110245,0.388324488,0.214707371,0.093072609,0.045412203,0.044555486,0.064054983,0.835997937,0.68329554,0.859772816,0.689119171,0.78729038,0.412014134,0.248582996,0.077669903,0.137690632,0.035778822,0.062286465
Peak-45,,231,235,11.2,672,1737.9,0.621128319,0.014551334,0.027081244,0.035714286,0.066968326,0.049867021,0.04786036,0.073565077,0.061155914,0.039537713,0,0.746396156,0.046875,0.10531401,0.040712468,0.014044944,0.065789474,0,0.049815498,0.108265425,0.092150171,0.024804178,0.730343623,0.04589372,0.018615041,0.032161556,0.02310231,0.051294343,0.016630197,0.040338645,0.026611694,0,0.039590747
Peak-46,,217,220,11.295,677.7,1750.8,0.699482536,0.429806181,0.307033418,0.24599268,0.186354039,0.152597403,0.109421608,0.062676056,0.065517687,0.05070346,0.051611295,0.70591215,0.473616141,0.337006539,0.128942116,0.217185904,0.106166495,0.087075867,0.048214088,0.058791171,0.050437803,0.021141181,0.661740937,0.317968591,0.303559729,0.13949228,0.172543136,0.098517105,0.064615737,0.026840573,0.046547371,0.043375817,0.022374373
Peak-47,Glutamine_3TMS::C00064,156,160,11.39,683.4,1763.6,0.785261661,0.790229885,0.798561817,0.808205528,0.800944297,0.759245283,0.716783217,0.663839004,0.468975251,0.178998581,0.072559013,0.537327189,0.741772449,0.741749607,0.657062428,0.751275735,0.694433927,0.649126892,0.511862396,0.361841262,0.240225035,0.023313757,0.599846292,0.799589371,0.797950516,0.809605548,0.789877858,0.774058178,0.749326782,0.659604658,0.472220649,0.299498362,0.010185199
Peak-48,Citric acid + Isocitric acid::C00158+C00311,273,278,11.66,699.6,1799.5,0.68731425,0.691569992,0.719972912,0.707037315,0.656521739,0.628123865,0.577593293,0.456473329,0.272709248,0.191782011,0.096721579,0.729586527,0.674901891,0.718256181,0.654206251,0.628488932,0.516526338,0.371482459,0.250875209,0.140272097,0.110862811,0.031324086,0.50270179,0.588350634,0.616956078,0.599676566,0.484171751,0.369743536,0.215844402,0.16334314,0.109705269,0.058243859,0.038353214
Peak-49,Ornithine::C00077,142,146,11.69,701.4,1803.8,0.798133877,0.806745266,0.808954563,0.810299036,0.807305297,0.80937047,0.813694578,0.793532747,0.760820845,0.662582228,0.449264414,0.806131163,0.812425498,0.810318501,0.811249472,0.810862059,0.80982541,0.807929485,0.800084065,0.758974714,0.65752202,0.295919337,0.800645292,0.805642808,0.806356485,0.811720171,0.809968248,0.808862274,0.800853796,0.7739174,0.71258973,0.57785837,0.076783285
